,headline,topic,sentiment
337,Trump Reprises State of the Union Message in North Carolina,Trump,neutr
338,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Trump,neutr
339,Buttigieg Says He's Raised $4M Since Strong Showing in Iowa,Buttigieg,pos
340,"Nevada Union Warns Members of Sanders, Warren Health Plans",Sanders,neg
341,Elizabeth Warren Has a Pete Buttigieg Problem,Warren,neg
342,Biden Shuffles Campaign Leadership After 4th-Place Finish,Biden,neutr
343,Appeals Court Dismisses Democrats' Lawsuit Against Trump,Trump,pos
344,"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",Sanders,neutr
345,How Pete Buttigieg Became the Surprise of the Iowa Caucuses,Buttigieg,pos
346,"Trump Says Will Keep Mulvaney as Chief of Staff, Will Decide on Vindman",Trump,neutr
347,Trump's Ex-Navy Secretary Endorses Bloomberg for President,Bloomberg,pos
348,"The Latest: Bloomberg Isn't at Debate, but He's Name-Dropped",Bloomberg,neg
349,Delaware University Pulls Art Depicting Trump Decapitation,Trump,neutr
350,Former Trump Navy Secretary Backs Bloomberg for President,Bloomberg,pos
351,Trump's Acquittal Confronts Dems With Election Year Choices,Trump,neutr
352,Buttigieg Narrowly Defeats Sanders in Iowa Caucus: Iowa Democratic Party,Buttigieg,pos
353,Buttigieg Narrowly Defeats Sanders in Iowa Caucus: Iowa Democratic Party,Sanders,neg
354,"Trump Halts Support for Yucca Mountain, Nevada Nuclear Waste Dump",Trump,neutr
355,Trump Tweets Reversal of Push for Nevada Nuclear Waste Dump,Trump,neutr
356,Trump Praises 2 Republicans Seeking Georgia Senate Seat,Trump,neutr
357,"McConnell Remaking Senate in Age of Trump, Impeachment",Trump,neutr
358,"Forty-Three Percent of Americans Back Trump Acquittal, 41 Percent Opposed: Reuters/Ipsos Poll",Trump,neutr
359,Trump Unbound at White House Celebration of His Acquittal,Trump,neutr
360,Trump Exults Over Acquittal in U.S. Senate Impeachment Trial,Trump,pos
361,Trump Seeks to Delay Woman's Suit After Request for His DNA,Trump,neutr
362,Biden Reaches for 'Comeback Kid' Mantle in New Hampshire,Biden,neutr
363,"Trump Courts Black Voters, but Opposition Remains Deep",Trump,neutr
364,Key Dates in the Impeachment Inquiry Into President Trump,Trump,neg
365,Black Lawmakers Demand Biden Disavow Surrogate's Comments,Biden,neutr
366,Trump Aide Ties Israeli Settlements to Rising Anti-Semitism,Trump,neutr
367,Factbox: Trump Impeachment-What Happens Next?,Trump,neg
368,Trump Seen Heading to Acquittal in U.S. Senate Impeachment Vote on Wednesday,Trump,neutr
369,Rosy Polls but Few Yard Signs: How Joe Biden Stumbled in Iowa,Biden,neg
370,"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",Buttigieg,pos
371,"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",Sanders,neutr
372,"In Political Speech to Congress, Trump Pokes at Democrats' Divide on Healthcare",Trump,neg
373,"Impeachment Takeaways: Trump's Iron Grip, McConnell Delivers",Trump,pos
374,"With Made-For-TV Flourish, Trump Makes Case for Bringing Troops Home",Trump,neutr
375,"Trump Spurns Pelosi Handshake, She Tears Up His Speech",Trump,unk
376,Vulnerable Democrat Doug Jones Votes to Convict Trump,Trump,neg
377,Pelosi Shreds Trump's Speech. Right There on the Podium.,Trump,neutr
378,Text of President Trump's 2020 State of the Union Address,Trump,neutr
379,AP FACT CHECK: Trump's Exaggerated 'Great American Comeback',Trump,neg
380,Bloomberg Plans to Double Ad Spending After Iowa Caucus Problem,Bloomberg,neutr
381,"Susan Collins Announces She Will Vote to Acquit Trump, Calling Conduct ‘Wrong’",Trump,pos
382,Verbal Fireworks Likely at Trump's State of the Union Speech,Trump,pos
383,'No Fair Trial': Quotes From Trump's Senate Impeachment Trial,Trump,neutr
384,Trump Revels in Democrats' Dysfunction in the Iowa Caucuses,Trump,neutr
385,Factbox: 'Midnight in Washington'-Quotes From Trump's Impeachment Trial,Trump,neutr
386,Iowa's Anger Over Trump's Ethanol Policy Gives Democrats Opening,Trump,neg
387,Pelosi Tears Up Trump's Speech to Congress as Impeachment Trial Nears End,Trump,neg
388,"As Democrats Fight for Iowa, Bloomberg Makes a Play for Delegate-Rich California",Bloomberg,neutr
389,Democrats Condemn Trump at Trial as Threat to American Democracy,Trump,neg
390,What to Expect Ahead of Trump’s State of the Union Address,Trump,neutr
391,Amy Klobuchar’s Caucus-Day in Iowa Visit Pays Off,Klobuchar,pos
392,Pelosi Says Democrats Have ‘Pulled Back a Veil’ on Trump’s ‘Unacceptable’ Behavior,Trump,neg
393,Trump or Obama? Lawmakers Fight Over SC Interchange Name,Trump,neutr
394,America Has Had a Year to Learn How to Say Buttigieg. And Yet.,Buttigieg,neutr
395,"Trump, Bloomberg Trade Schoolyard Taunts as Spending War Heats Up",Trump,neg
396,Black Democratic Group Co-Chair Endorses Steyer in South Carolina,Steyer,neutr
397,Billionaire U.S. Candidate Bloomberg Floats Plan to Tax Rich People 'Like Me',Bloomberg,neutr
398,Joe Walsh Also Wants to Beat Donald Trump,Trump,neutr
399,The Latest: Warren Assures Supporters a Woman Can Win,Warren,neg
400,Trump Speech to Project Optimism at Time of Bitter Division,Trump,pos
401,Trump Impeachment: What Happens Next?,Trump,neutr
402,"Echoing His Campaign Pitch, Trump Will Focus on Economic Boom in Annual Speech",Trump,pos
403,Democrats Announce New Debate Rules Likely to Allow Bloomberg to Join,Bloomberg,pos
404,Democrat Michael Bloomberg Spent $200 Million of Own Wealth on Presidential Bid in 2019,Bloomberg,neutr
405,Warren Raises 'Significant Concerns' in Letter to Trump's Fed Pick Shelton,Trump,neutr
406,Warren Raises 'Significant Concerns' in Letter to Trump's Fed Pick Shelton,Warren,neutr
407,Biden Slams Trump for Cutting Health Programs Before Coronavirus Outbreak,Trump,neg
408,Emails Show the Fallout From Trump's Claims About Dorian,Trump,neg
409,Analysis: GOP Sends Message That Trump’s Actions Were OK,Trump,pos
410,Bloomberg Proposes $5 Trillion in Taxes on the Rich and Corporations,Bloomberg,neutr
411,Democratic Candidates Focus on All-Consuming Hunger to Unseat Trump,Trump,neg
412,Trump State of the Union Won't Be 1st Delivered Amid Turmoil,Trump,neutr
413,Billionaire Bloomberg Floods Democratic Primary With Cash,Bloomberg,neg
414,"Clinton Jabs Again at Sanders, Says He Didn't Unite Party",Sanders,neg
415,"Once Skeptical, Senate Republicans Are All In on Trump",Trump,pos
416,Biden Cash Reserves Lag Behind Top 2020 Rivals,Biden,neutr
417,"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",Trump,neutr
418,Biden Camp Prepping Backers for Extended Fight Beyond Iowa,Biden,neutr
419,Former White House Counsel Says Trump Thinks Differently,Trump,neutr
420,Trump Hotel Patrons Relish Impeachment Finale,Trump,unk
421,GOP Senators Seek to Acquit Trump Without Condoning Conduct,Trump,neutr
422,Trump Administration Adds Six Countries to Travel Ban,Trump,neg
423,Bloomberg Fueled His Campaign With $200 Million From His Own Fortune,Bloomberg,neutr
424,"Trump Told Bolton to Help His Ukraine Pressure Campaign, Book Says",Trump,neg
425,Bernie Sanders’s Surge Owes a Lot to Voters of Color,Sanders,neg
426,Biden: Sanders 'Changed His Mind' on Gun Policies,Biden,neutr
427,Good Economy May Mask Trump Vulnerability in Key States: Study,Trump,neg
428,"Bloomberg Tackles Gun Violence, Trump Touts Victories in Super Bowl Ads",Bloomberg,pos
429,"Bloomberg Tackles Gun Violence, Trump Touts Victories in Super Bowl Ads",Trump,neg
430,"Trump Mocks Democrats, Revives Border Wall Promise in Iowa Campaign Speech",Trump,neutr
431,A Second Video Shows Trump With Former Ukraine Fixer Lev Parnas,Trump,neutr
432,"In Iowa's Small Black Community, Little Love for the Caucuses or Joe Biden",Biden,neg
433,Republican Senators to Watch in Battle Over Trump Impeachment Trial Witnesses,Trump,neutr
434,McConnell's Democratic Rival McGrath Endorses Biden for 2020,Biden,pos
435,Movin' on Up: Bloomberg Glides Past Warren to No. 3 in Democratic Race-Reuters/Ipsos Poll,Warren,neg
436,Buttigieg Courts 'Future Former Republicans' to Expand Vote,Buttigieg,neutr
437,Trump Signs Order Creating Post Focused on Human Trafficking,Trump,neutr
438,Trump Lawyer’s Impeachment Argument Stokes Fears of Unfettered Power,Trump,neg
439,Trump Travels to Iowa to Energize Supporters for Caucuses Next Week,Trump,neutr
440,Note-Passing and Power: Moderates Team Up at Trump Trial,Trump,neutr
441,Exclusive: Utah Sen. Mike Lee thankful for Trump plan to allow use of lands previously designated as monuments,Trump,pos
442,Feeling the Bern: New Hampshire narrowly goes for Sanders,Sanders,pos
443,Trump: Don't want to say yet whether I'd pardon Roger Stone,Trump,neutr
444,"Biden campaign says race isn't over, turns focus to South Carolina and Nevada",Biden,neutr
445,"Booming economy, Trump immigration crackdown create labor shortage in construction industry",Trump,neg
446,2020 Democrats in growing battle over who can defeat President Trump,Trump,neutr
447,Deval Patrick drops out of presidential race,Patrick,neutr
448,"Howard Kurtz: Media spotlight on Klobuchar, despite Sanders winning in New Hampshire primary",Sanders,neutr
449,President Trump congratulates Attorney General Barr for taking control of Roger Stone case,Trump,pos
450,Baier on Biden’s decision to leave New Hampshire early to rally in South Carolina,Biden,neutr
451,Progressive platform fuels Bernie Sanders' victory in New Hampshire,Sanders,pos
452,President Trump victorious in New Hampshire primary,Trump,pos
453,Cuomo to meet with Trump over Trusted Traveler Program enrollment ban for New Yorkers,Trump,neutr
454,"Sanders, Buttigieg and Klobuchar look to seize momentum from New Hampshire results",Buttigieg,neutr
455,"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Buttigieg,neutr
456,"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Sanders,pos
457,"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Warren,neutr
458,Joe Scarborough says Trump is a 'would-be dictator' who wants to arrest journalists,Trump,neg
459,"Trump doubles Obama's 2012 vote total in New Hampshire, signaling fired up base",Trump,pos
460,"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",Biden,neutr
461,"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",Sanders,pos
462,"Biden finishes 5th in New Hampshire primary, says ‘It ain’t over’",Biden,neutr
463,What might be Andrew Yang's next move?,Yang,neutr
464,Is Sanders really the candidate Democrats can rally behind?,Sanders,neg
465,How does Trump plan to win the state of New Hampshire in the general election?,Trump,neutr
466,What would a brokered Democratic convention mean for Trump?,Trump,neutr
467,Will an 'outsider candidate' stand the best chance against President Trump in 2020?,Trump,neutr
468,"Sanders edges out Buttigieg to win New Hampshire, as Klobuchar surges to third",Buttigieg,neutr
469,Biden finishes fifth in New Hampshire primary,Biden,neg
470,Trump trolls Democrats with rally on eve of New Hampshire primary,Trump,neutr
471,Buttigieg calls for Dem unity following strong showing in New Hampshire primary,Buttigieg,pos
472,"Biden, Warren won’t get any delegates from New Hampshire",Warren,neg
473,Joe Biden speaks at a kick off rally for his South Carolina campaign,Biden,neutr
474,"Trump mocks 'Pocahontas' Warren, 'Impeachment King' Steyer after poor showing in New Hampshire",Steyer,neg
475,How will New Hampshire play out for President Trump?,Trump,neutr
476,Trump taunts Roger Stone prosecutors who 'cut and ran' from case,Trump,neg
477,Klobuchar gives proud speech after strong New Hampshire showing: 'Beaten the odds every step of the way',Klobuchar,neutr
478,Trump pulls former US attorney Jessie Liu’s nomination for Treasury role,Trump,neutr
479,"Michael Bennet drops out of 2020 presidential race, after New Hampshire primary",Bennet,neg
480,Trump easily wins New Hampshire Republican primary,Trump,pos
481,Andrew Yang: We accelerated the eradication of poverty,Yang,pos
482,Buttigieg surrogate on campaign momentum from Iowa to New Hampshire,Buttigieg,neutr
483,Trump tries to steal Democrats' thunder in New Hampshire,Trump,neg
484,Lewandowski: Tonight is going to be a big night for Sanders and Buttigieg,Buttigieg,pos
485,Wallace: I think Joe Biden is in serious trouble,Biden,neg
486,Yang: Our goal is to finish top 4 in New Hampshire,Yang,neutr
487,Trump calls Romney a ‘disgrace’ for impeachment vote,Trump,neg
488,"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",Biden,neutr
489,"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",Sanders,neutr
490,Trump Administration Expected to Loosen Military’s Limits on Land Mines,Trump,neutr
491,Bernie Sanders Is Still Sad About the Dodgers,Sanders,neutr
492,"Buttigieg Sharpens Biden, Sanders Attacks as Caucuses Near",Biden,neg
493,"Buttigieg Sharpens Biden, Sanders Attacks as Caucuses Near",Buttigieg,pos
494,How Iowa Could Decide Joe Biden’s Fund-Raising Future,Biden,neutr
495,Pompeo Plays Clean-Up in Ukraine as Trump Trial Nears End,Trump,neutr
496,‘I’m a Democrat’: Biden Accuses Sanders of Not Being a Party Member,Biden,neutr
497,"Bloomberg Backed by DC Mayor, Biden Endorsed by Richmond's",Biden,neutr
498,"Aiming at Trump, Biden Says a President's Character Matters",Trump,neg
499,"Postal Workers Union With 200,000 Members Endorses Sanders",Sanders,pos
500,"Bloomberg, Trump Detail Campaign Ads to Air on Super Bowl",Bloomberg,neutr
501,Trump: Justice Department corrected 'horribleness' of Stone sentencing,Trump,neutr
502,Elizabeth Warren under fire for saying she accepted broke college student's 'last few dollars' for her campaign,Warren,neg
503,Biden Under Pressure to Prove He Can Thwart New GOP Attacks,Biden,neg
504,"As Other Democrats Feud, Bloomberg Hammers Trump on Health Care",Bloomberg,pos
505,Biden Aides Weigh Pursuing an Iowa Caucus Alliance With Klobuchar,Klobuchar,neg
506,"At Rally, Trump Praises Van Drew for Leaving ‘Deranged’ Democratic Party",Trump,neutr
507,"On the Day Democrats Vote in Iowa, Trump Plans to Flood the Zone",Trump,neutr
508,Bolton Book Puts New Focus on Trump’s Actions in Turkey and China Cases,Trump,neutr
509,Joni Ernst Asks if Impeachment Trial Will Turn Iowa Caucusgoers Against Biden. They Answer.,Biden,neutr
510,On Politics: A Sanders Scenario,Sanders,neutr
511,How People of Color Inside the Buttigieg Campaign Sought to Be Heard,Buttigieg,neutr
512,A Primary From the Right? Not in Trump’s G.O.P.,Trump,neutr
513,"Bolton Was Concerned That Trump Did Favors for Autocratic Leaders, Book Says",Trump,neg
514,How Pete Buttigieg Tailors His Message to Black and White Voters,Buttigieg,neutr
515,"Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",Bloomberg,neg
516,"Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",Trump,neg
517,"John Bolton’s Account Upends Trump’s Denials, but Will It Upend Trump?",Trump,neutr
518,Bernie Sanders and His Internet Army,Sanders,neutr
519,5 Takeaways on Trump and Ukraine From John Bolton’s Book,Trump,neutr
520,Tape Made Public of Trump Discussing Ukraine With Donors,Trump,neutr
521,Cities Prepare for the Worst as Trump’s Food Stamp Cuts Near,Trump,neg
522,"Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election",Trump,neutr
523,Who are Trump's Impeachment Defense Lawyers,Trump,neutr
524,What to Watch For in Trump’s Impeachment Trial on Saturday,Trump,neutr
525,"Sanders, Biden, Clinton? This Week in the 2020 Race",Sanders,neutr
526,Trump Tries to Upstage Drama in the Senate With His Own Programming,Trump,neg
527,Lev Parnas Says He Has Recording of Trump Calling for Ambassador’s Firing,Trump,neutr
528,Why a Joe Rogan Endorsement Could Help (or Backfire on) Bernie Sanders,Sanders,neutr
529,"Trump Gives Speech at 2020 March for Life Rally in Washington, D.C.",Trump,pos
530,What to Watch For in Trump’s Impeachment Trial on Friday,Trump,neutr
531,Now Testifying for the Prosecution: President Trump,Trump,neutr
532,Kamala Harris Is Said to Be Weighing an Endorsement of Joe Biden,Biden,pos
533,"Seeing a Bloomberg Ad on Fox News, Trump Takes the Bait",Trump,neg
534,Tom Steyer Exaggerates Fossil Fuel Divestment,Steyer,neg
535,What to Watch For in the Trump Impeachment Trial,Trump,neutr
536,‘Where Is Kevin?’ McCarthy Finds a Place in the Trump Camp,Trump,neutr
537,Why Bernie Sanders Went on the Attack Against Joe Biden,Sanders,neutr
538,Trump Impeachment Trial: Live Updates,Trump,neutr
539,Pete Buttigieg Once Led in Iowa. Can He Get His Groove Back?,Buttigieg,neutr
540,Trump Considering an Expansion of His 2017 Travel Ban,Trump,neutr
541,Barr Once Contradicted Trump’s Claim That Abuse of Power Is Not Impeachable,Trump,neutr
542,Sanders Apologizes to Biden for Surrogate’s Critique,Biden,neutr
543,‘Constitutional Nonsense’: Trump’s Impeachment Defense Defies Legal Consensus,Trump,neutr
544,McConnell Pushes to Speed Impeachment Trial as Trump Requests Swift Acquittal,Trump,neutr
545,Biden and Sanders Clash Over Social Security,Biden,neutr
546,Sanders and Warren Try to Tone Down Rift. Some of Their Supporters Seem Less Willing.,Sanders,neutr
547,Sanders and Warren Try to Tone Down Rift. Some of Their Supporters Seem Less Willing.,Warren,neutr
548,Sanders vs. Warren: This Week in the 2020 Race,Sanders,neutr
549,Impeachment Briefing: Team Trump,Trump,neutr
550,"How Trump Is Spreading a Conspiracy Theory About Pelosi, Biden and Sanders",Biden,neg
551,"How Trump Is Spreading a Conspiracy Theory About Pelosi, Biden and Sanders",Trump,neg
552,"Jane Raskin, Who Helped Trump in Mueller Inquiry, Joins President’s Defense Team",Trump,neutr
553,Pat Cipollone: White House Counsel Who Will Help Lead Trump Legal Team,Trump,neutr
554,"In Jay Sekulow, Trump Taps Longtime Loyalist for Impeachment Defense",Trump,neg
555,"Joe Biden’s Poll Numbers Are Steady, but Are They Immovable?",Biden,neutr
556,California Governor Wants Truce With Trump in Homelessness Fight,Trump,neutr
557,"Angry Trump Says Focus Should Be on a Trade Deal, Not a ‘Hoax’",Trump,neg
558,"Sanders-Warren: An Alliance, if Not a Close Friendship, Suddenly Fractures",Warren,neutr
559,Senate Opens Trump Impeachment Trial as New Ukraine Revelations Emerge,Trump,neg
560,Key Moments as Trump’s Impeachment Trial Formally Begins,Trump,neutr
561,G.A.O. Report Says Trump Administration Broke Law in Withholding Ukraine Aid,Trump,neg
562,Trump Falsely Calls China Trade Agreement ‘Biggest Deal There Is’,Trump,neg
563,Elizabeth Warren Confronts the Skeptics Who Fear Her Plans Go Too Far,Warren,pos
564,"Warren Told Sanders After Debate, ‘I Think You Called Me a Liar on National TV’",Sanders,neg
565,Judge Halts Trump Policy That Allows States to Bar Refugees,Trump,neg
566,Warren and Sanders Seemed to Calm Things. Then the Debate Ended.,Sanders,pos
567,"Trump, Like Obama, Seeks Change in Iran. But He Differs in How to Do It.",Trump,neutr
568,"Senate Has Votes to Pass Limits on Trump’s Iran War Power, Likely Drawing a Veto",Trump,neutr
569,An Ad From Bernie Sanders Invokes J.F.K.,Sanders,neg
570,Documents Provide New Details of Trump’s Pressure Campaign on Ukraine,Trump,neutr
571,Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,Sanders,neutr
572,Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,Warren,neutr
573,Bernie Sanders Says He’d Consider Releasing List of Supreme Court Picks,Sanders,neutr
574,The Trump Administration’s Fluctuating Explanations for the Suleimani Strike,Trump,neg
575,Joe Biden’s Vote for War,Biden,neg
576,"Trump, Shifting Arguments, Urges Swift Dismissal of Impeachment Charges",Trump,neutr
577,Judge Judy Has Issued Her Decision: She Likes Michael Bloomberg,Bloomberg,pos
578,Trump Took Credit for Lower Cancer Death Rates. Advocates Say Not So Fast.,Trump,neg
579,"Former Marine Posed as Security Member for Trump’s Marine One, Officials Say",Trump,neutr
580,Logjam Over Impeachment Trial Leaves Trump Prosecutors Little Time to Prepare,Trump,neutr
581,Sanders and Biden Look for Dominance in Early States,Sanders,neutr
582,"F.B.I. Apologizes to Court for Botching Surveillance of Trump Adviser, and Pledges Fixes",Trump,neutr
583,"Texas Governor Shuts State to Refugees, Using New Power Granted by Trump",Trump,neutr
584,Why Pete Buttigieg Has Made Religion Central to His Campaign,Buttigieg,neutr
585,How the Public Feels About Trump’s Iran Strategy,Trump,neg
586,He Was Cruising in a G.O.P. Primary. Then Trump Endorsed an Ex-Democrat.,Trump,neutr
587,Twin Court Rulings Buoy Construction of Trump’s Border Wall,Trump,neutr
588,Competing for Sanders’s New Hampshire Voters: Yang and Gabbard,Sanders,neg
589,Competing for Sanders’s New Hampshire Voters: Yang and Gabbard,Yang,neutr
590,Trump Claims Iranians Were Plotting to Blow Up American Embassy,Trump,neutr
591,Around the Country in 17 Hours With Michael Bloomberg,Bloomberg,neutr
592,The Trump Doctrine Tests the G.O.P.,Trump,neutr
593,Pelosi Announces Vote to Limit Trump’s War-Making Power Against Iran,Trump,neg
594,Full Transcript: President Trump’s Address on Iran,Trump,neutr
595,A Strategy for the Mideast That Has Even Trump’s Allies Scratching Their Heads,Trump,neg
596,Connecticut Man Admits He Threatened to Kill President Trump,Trump,neg
597,"Pressed for Details on Suleimani Strike, Trump Administration Gives Few",Trump,neg
598,Donor to Trump Inauguration Charged With Obstructing Investigation,Trump,neg
599,"Days After Suleimani Killing, Trump Campaign Promotes It on Facebook",Trump,neg
600,"Joe Biden, Seeking Commander-in-Chief Moment, Denounces Trump’s Iran Escalation",Biden,neg
601,Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,Bloomberg,neutr
602,Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,Trump,neutr
603,"Deval Patrick Hopes for an Unlikely Surge, but for Many, ‘It’s Awfully Late’",Patrick,neg
604,Julián Castro Endorses Elizabeth Warren for President,Warren,pos
605,Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,Biden,pos
606,Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,Sanders,neutr
607,"For Trump, the Burden May Be Proving This Is Not the Moment His Critics Predicted",Trump,neg
608,"Buttigieg’s Bet: After Iran Strike, Military Experience Matters Even More",Buttigieg,neg
609,"As Tensions With Iran Escalated, Trump Opted for Most Extreme Measure",Trump,neutr
610,White House Withholds 20 Emails Between Two Trump Aides on Ukraine Aid,Trump,neg
611,"Impeachment Impasse Deepens in Senate, Leaving Trump’s Trial in Doubt",Trump,neutr
612,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,Buttigieg,neutr
613,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,Warren,neutr
614,Dizzying Day for Trump Caps a Year Full of Them,Trump,neutr
615,Firings at Trump Property Cap Year of Purging Undocumented Workers,Trump,neg
616,Trump Says U.S. and China Will Sign Trade Deal in January,Trump,neutr
617,"Bernie Sanders Is in ‘Good Health,’ His Doctors Say",Sanders,pos
618,"A Biden-G.O.P. Ticket? He’s Open to It, but Doesn’t See Options",Biden,neutr
619,"Joe Biden Says He Would Comply With a Senate Subpoena, Reversing Course",Biden,neutr
620,Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond,Trump,neutr
621,Why Bernie Sanders Is Tough to Beat,Sanders,pos
622,The ‘But I Would Vote for Joe Biden’ Republicans,Biden,neutr
623,How Bernie Sanders Learned to Love Campaigning in California,Sanders,pos
624,Klobuchar Is Banking on Iowa Moderates. Her Problem: So Is Buttigieg.,Klobuchar,neutr
625,Trump Largely Ignores Impeachment as He Rallies Young Conservatives,Trump,neutr
626,Trump to Give State of the Union Address Feb. 4,Trump,neutr
627,Sarah Huckabee Sanders Apologizes for Mocking Biden’s Remarks on Stuttering,Sanders,neutr
628,Who’s Best to Beat Trump? 7 Answers When 7 Democrats Debate,Trump,neutr
629,Buttigieg and Warren Clash Over ‘Wine Cave’ Fund-Raiser,Buttigieg,neg
630,"After Impeachment, an Angry Trump Looks to Voters for Vindication",Trump,neg
631,How a Trump Trade Deal Won Over Democrats,Trump,pos
632,Debbie Dingell Gets Support From Another Widow Whose Husband Trump Has Mocked: Cindy McCain,Trump,neg
633,Elizabeth Warren to Meet With Native American Leaders in Oklahoma,Warren,pos
634,Trump Impeachment Trial in Doubt as Democrats Weigh Withholding Articles,Trump,pos
635,"Andrew Yang Is Onstage, but Offstage, Asian-Americans Wonder Where They Fit In",Yang,neutr
636,Timing of Trump Impeachment Trial in Limbo as Pelosi Holds Out for Assurances,Trump,neutr
637,"Where Impeachment Crosses Party Lines, but Fixates on Trump",Trump,neutr
638,Trump Administration Proposes Adding Minor Crimes to List of Offenses That Bar Asylum,Trump,neg
639,Trump Impeached for Abuse of Power and Obstruction of Congress,Trump,unk
640,Pete Buttigieg Quit Playing Nice. Will He Pay for It at the Debate?,Buttigieg,neg
641,Trump Impeachment Vote Schedule: What to Expect,Trump,neutr
642,Trump Diatribe Belittles Impeachment as ‘Attempted Coup’ on Eve of Votes,Trump,neutr
643,Sanders and Buttigieg in tight race for delegates,Buttigieg,neutr
644,Sanders and Buttigieg in tight race for delegates,Sanders,neutr
645,Trump budget proposal draws partisan ire,Trump,neg
646,Sanders narrowly defeats Buttigieg in New Hampshire,Sanders,neutr
647,Why isn't Sen. Bernie Sanders taking a stand against Venezuelan regime?,Sanders,neg
648,Biden turns attention to next contests after New Hampshire,Biden,neutr
649,Biden vows comeback after defeat in Iowa and New Hampshire,Biden,pos
650,Trump slams Roger Stone prosecution as a 'disgrace',Trump,neutr
651,Trump campaign manager reacts to New Hampshire primary results,Trump,neutr
652,"Ben Shapiro: Sanders wants us to believe in alternate realities, while Bloomberg wrongly accused of racism",Sanders,neg
653,Don Jr.: The one thing Bloomberg can't buy is personality,Bloomberg,neg
654,New Yorkers react to controversial Bloomberg audio,Bloomberg,unk
655,Don Jr calls up pro-Trump 15-year-old who was attacked in NH: ‘My family has your back',Trump,unk
656,Trump slams Manchin as a 'puppet' - even after West Virginia Democrat signals he’s open to endorsing president,Trump,neg
657,Blow to Biden? Powerful Nevada union declines to endorse Democratic presidential candidate,Biden,neg
658,Dr. Bill Bennett reacts to Sanders momentum alarming House Democrats,Sanders,pos
659,Trump becomes first president named Daytona 500 grand marshal,Trump,pos
660,"Trump slams Manchin as a 'puppet,' even after West Virginia Democrat signals he’s open to endorsing president",Trump,neg
661,Rep. Dan Crenshaw shuts down Bernie Sanders over his Green New Deal claim,Sanders,neg
662,"Joe Manchin, who voted to oust Trump, says he may endorse his reelection",Trump,pos
663,"Biden faces NYC protesters chanting ‘Drop out, Joe!’",Biden,neg
664,'The Ingraham Angle' sends Dinesh D'Souza to a Bloomberg campaign event,Bloomberg,neutr
665,Attorney General Barr wants President Trump to stop tweeting about the Justice Department,Trump,neutr
666,Mike Bloomberg says he's willing to spend whatever it takes to beat President Trump,Bloomberg,neutr
667,Powerful Nevada union declines to endorse a candidate in Dem race in major snub to Biden,Biden,neg
668,Palestinian president dismisses Trump's Mideast peace plan at UN Security Council meeting,Trump,neg
669,Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,Trump,pos
670,Trump Says War With Iran Was ‘Closer Than You Thought’,Trump,neutr
671,Trump’s Impeachment Is Virtually Over. What Did It Change?,Trump,neutr
672,How Putin Outfoxed Trump in Venezuela,Putin,pos
673,Veterans Differ With Trump Over Injuries From Iran Missile Attack,Trump,neutr
674,Trade-Court Lawsuits Take On Trump’s Tariff Campaign,Trump,neutr
675,House Democrats May Vote on Trump Impeachment Charges This Week,Trump,neg
676,Judges Quietly Disrupt Trump Immigration Policy in San Diego,Trump,neg
677,Barr Attacks Trump on Live TV Defends Deep-State DOJ (VIDEO),Trump,neutr
678,"""""""Not Terribly Encouraging"""": Mitt Romney Hints He Might Oppose Fed Nominee Judy Shelton In Latest Attack On Trump""",Trump,neutr
679,George Conway calls for Trump to be impeached…again,Trump,neutr
680,"Amy Klobuchar Vows to Resettle 500 Percent More Refugees, None in Her Neighborhood",Klobuchar,neg
