,headline,entity,majority_label
332,"Post Impeachment, a Key Republican Suburban Area Rallies Around Trump",Trump,Positive
333,Biden Tells Voters to Look to the Past. (Just Not the Last Week.),Biden,Negative
334,Joe Biden Attacks Bernie Sanders’s Record on Guns,Sanders,Neutral
335,"Victors in Iowa, Sanders and Buttigieg Are Targets in Democratic Debate",Buttigieg,Positive
336,Trump 'a Symptom of a Disease'-Quotes From the Democratic Presidential Debate,Trump,Negative
337,Trump Reprises State of the Union Message in North Carolina,Trump,Neutral
338,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Buttigieg,Positive
339,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Klobuchar,Neutral
340,"Nevada Union Warns Members of Sanders, Warren Health Plans",Sanders,Negative
341,"Nevada Union Warns Members of Sanders, Warren Health Plans",Warren,Negative
342,Elizabeth Warren Has a Pete Buttigieg Problem,Buttigieg,Neutral
343,"White House Aide Vindman, Who Testified in Trump Impeachment Probe, Fired: Lawyer",Trump,Neutral
344,New York Threatens to Sue Trump Administration Over Access to Traveler Programs,Trump,Negative
345,Biden Shuffles Campaign Leadership After 4th-Place Finish,Biden,Neutral
346,The Latest New Hampshire Polls: Buttigieg Looks Competitive,Buttigieg,Positive
347,"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",Buttigieg,Positive
348,Payback: Trump Ousts Officials Who Testified on Impeachment,Trump,Neutral
349,"Two Days After His Acquittal, Trump Ousts Two Star Impeachment Witnesses",Trump,Neutral
350,Virginia Democrats Advance Assault Weapon Ban,Democrats,Neutral
351,"In Another Trump Win, Court Tosses Democrats' Suit Over His Businesses",Trump,Positive
352,Former Trump Navy Secretary Backs Bloomberg for President,Bloomberg,Positive
353,Ex-Republican Lawmaker Walsh Ends Bid to Challenge Trump for White House,Republicans,Positive
354,Ex-Republican Lawmaker Walsh Ends Bid to Challenge Trump for White House,Trump,Neutral
355,"To Win New Hampshire, Warren Has to Go Through Sanders",Sanders,Neutral
356,Front-Runners Buttigieg and Sanders Beat Back Debate Attacks,Sanders,Positive
357,Courts Are the Next Front in Trump's Battle Over Presidential Powers,Trump,Neutral
358,"Buttigieg, Sanders to Win Most National Delegates in Iowa",Buttigieg,Positive
359,Campaigner or Commander in Chief? No Difference for Trump,Trump,Neutral
360,Trump Administration to Open Free-Trade Talks With Kenya,Trump,Positive
361,"Forty-Three Percent of Americans Back Trump Acquittal, 41 Percent Opposed: Reuters/Ipsos Poll",Trump,Neutral
362,Trump Unbound at White House Celebration of His Acquittal,Trump,Negative
363,U.S. Moves Ahead on Development Plans for Utah Monuments Trump Shrank,Trump,Negative
364,Buttigieg Narrowly Wins Iowa Caucuses: State Party Results,Buttigieg,Positive
365,Pelosi Says She Prays Hard for Trump Because He Is So 'Off the Track',Trump,Negative
366,Trump Administration Limits New Yorkers' Access to Travel Passes,Trump,Neutral
367,Trump Seeks to Delay Woman's Suit After Request for His DNA,Trump,Negative
368,"In Trump Country, the Resistance Meets the Steel Curtain",Trump,Neutral
369,Impeachment Loses Its Constitutional Gravity in Trump Case,Trump,Positive
370,"Trump Wins Acquittal, but Ukraine Saga Far From Over",Trump,Negative
371,Governors Warn Trump Rule Could Lead to Big Medicaid Cuts,Trump,Negative
372,A Newly Emboldened Trump Gives Democrats a Reason to Fret,Democrats,Negative
373,A Newly Emboldened Trump Gives Democrats a Reason to Fret,Trump,Positive
374,"Buttigieg Leads Delegate Count in Initial Iowa Caucus Results, Biden in Fourth",Biden,Negative
375,"Buttigieg Leads Delegate Count in Initial Iowa Caucus Results, Biden in Fourth",Buttigieg,Positive
376,"Buttigieg Has Narrow Iowa Lead on Sanders, Biden Lags in Democratic Race",Buttigieg,Positive
377,Trump the Showman Honors Provocative Talk-Show Host Limbaugh,Trump,Positive
378,Trump-Pelosi Feud Erupts During Speech to Congress as Impeachment Trial Nears End,Trump,Negative
379,"In Political Speech to Congress, Trump Pokes at Democrats' Divide on Healthcare",Democrats,Negative
380,Virginia Lawmakers Vote to Block Offshore Drilling in Rebuke to Trump Plan,Trump,Negative
381,"With Made-For-TV Flourish, Trump Makes Case for Bringing Troops Home",Trump,Negative
382,"Buttigieg Holds Narrow Lead in Iowa, Biden Lags in Democrats' Updated Results",Buttigieg,Positive
383,"Buttigieg Holds Narrow Lead in Iowa, Biden Lags in Democrats' Updated Results",Democrats,Neutral
384,Partial Iowa Results Give Buttigieg Slight Edge Over Sanders,Buttigieg,Positive
385,Partial Iowa Results Give Buttigieg Slight Edge Over Sanders,Sanders,Negative
386,Rhode Island Governor Backs Michael Bloomberg for President,Bloomberg,Positive
387,Not Guilty: Senate Acquits Trump of Impeachment Charges,Trump,Positive
388,Pelosi Shreds Trump's Speech. Right There on the Podium.,Trump,Negative
389,Democrats' Response to Trump Turns to Working-Class Worries,Trump,Negative
390,The Latest: Michigan Gov. Whitmer Delivers Response to Trump,Trump,Neutral
391,Trump Adds Reality Show Flourishes to State of the Union Address,Trump,Negative
392,Partisan Rancor on Display as Senators Argue Their Positions in Trump Impeachment Trial,Trump,Negative
393,Democrats Turn to Gov. Gretchen Whitmer of Michigan for Trump State of the Union Response,Trump,Neutral
394,Factbox: 'Midnight in Washington'-Quotes From Trump's Impeachment Trial,Trump,Negative
395,The Long Road to Trump's Impeachment and Trial,Trump,Negative
396,U.S. Candidate Bloomberg Says Trump Cannot Stop Taking Bait in Insult War,Trump,Negative
397,"Caroline Kennedy Backs Biden, Calls Him Democrats' Best Bet",Biden,Positive
398,"In Blessing Annexation, Trump Erodes an International Norm",Trump,Negative
399,Buttigieg Slightly Leading Sanders in Partial Iowa Results,Buttigieg,Positive
400,Iowa’s Republicans Unite for Trump (Romney Holdouts Aside),Trump,Positive
401,Amy Klobuchar’s Caucus-Day in Iowa Visit Pays Off,Klobuchar,Positive
402,5 Takeaways From Trump’s Impeachment Trial,Trump,Neutral
403,Trump or Obama? Lawmakers Fight Over SC Interchange Name,Trump,Neutral
404,"Trump, Bloomberg Trade Schoolyard Taunts as Spending War Heats Up",Bloomberg,Neutral
405,"Iowa in Focus: Democrats Open 2020 With Hope, Anxiety",Democrats,Neutral
406,Two Women in Custody for Running Checkpoints at Trump's Florida Resort,Trump,Neutral
407,Michigan Governor to Take National Stage to Rebut Trump,Trump,Neutral
408,"Trump Mistakenly Congratulates Kansas City, Kan., on Its Super Bowl Win",Trump,Neutral
409,Democrats Make Final Appeals in a Cloudy 2020 Iowa Caucus Race,Democrats,Neutral
410,Trump Defends Closing Borders to Travelers to Fight Coronavirus,Trump,Positive
411,"Trump Campaign and R.N.C. Spent $9 Million in 4th Quarter, Mostly on Digital Ads",Trump,Neutral
412,"Sanders Calls for Unity, but His Supporters Have Other Ideas",Sanders,Positive
413,Rivals Target Sanders in Final Push Toward Iowa Caucuses,Sanders,Neutral
414,Liberal Super PAC Boasts $111 Million Raised to Oppose Trump,Trump,Negative
415,Senator Romney to Vote for Trump Impeachment Trial Witnesses,Trump,Neutral
416,Trump Rape Accuser Seeks DNA Sample From U.S. President,Trump,Negative
417,Biden Slams Trump for Cutting Health Programs Before Coronavirus Outbreak,Biden,Neutral
418,U.S. Candidate Bloomberg Spent $200 Million of Own Wealth on Presidential Bid in 2019,Bloomberg,Neutral
419,The Latest: Yang Says His Caucus Success Will Be a 'Shock',Yang,Neutral
420,Former U.S. Lawmaker Delaney Ends 2020 Democratic Presidential Bid,Delaney,Negative
421,Democrats Focus on Unity as Tensions From 2016 Linger,Democrats,Positive
422,"In Battleground Wisconsin, GOP Opens Front in Milwaukee",GOP,Neutral
423,AP FACT CHECK: Distortions in Trump's Case for Acquittal,Trump,Negative
424,Trump State of the Union Won't Be 1st Delivered Amid Turmoil,Trump,Neutral
425,Trump Administration Rejects California's Health Care Tax,Trump,Negative
426,"Once Skeptical, Senate Republicans Are All In on Trump",Trump,Positive
427,"Republicans Block Impeachment Witnesses, Clearing Path for Trump Acquittal",Republicans,Positive
428,Diplomat at Center of Trump Impeachment Retires From State Department,Trump,Neutral
429,Roberts Says He Won't Break a Tie in Trump Impeachment Trial,Trump,Negative
430,"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",Republicans,Negative
431,Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,Sanders,Negative
432,Klobuchar Faces Uproar Over Her Role in Black Teenager’s Murder Conviction,Klobuchar,Negative
433,Trump to Tout U.S. 'Comeback' at State of the Union Speech,Trump,Positive
434,"Bolton: Trump Asked Me to Ensure Zelenskiy, Giuliani Met",Trump,Neutral
435,Alexander Says Convicting Trump Would ‘Pour Gasoline on Cultural Fires’,Trump,Neutral
436,D.N.C. Rules Change for Nevada Debate Could Open Door for Bloomberg,Bloomberg,Positive
437,Trump Curbs Immigrants From 6 Nations in Election-Year Push,Trump,Negative
438,Trump Shifts to Authorize Wider US Military Use of Landmines,Trump,Neutral
439,John Delaney Ends Presidential Campaign After Two and a Half Years,Delaney,Negative
440,Republican Senator Suggests She May Vote for More Impeachment Witnesses,Republicans,Neutral
441,Biden: Sanders 'Changed His Mind' on Gun Policies,Sanders,Negative
442,Senior Republican Sees 'Completion' of Impeachment Trial Friday or Saturday,Republicans,Positive
443,"In Iowa’s Small Black Community, Little Love for the Caucuses or Joe Biden",Biden,Negative
444,Movin' on Up: Bloomberg Glides Past Warren to No. 3 in Democratic Race-Reuters/Ipsos Poll,Bloomberg,Positive
445,Movin' on Up: Bloomberg Glides Past Warren to No. 3 in Democratic Race-Reuters/Ipsos Poll,Warren,Neutral
446,Spotlight Falls on Democrats From Trump-Friendly States,Trump,Neutral
447,Note-Passing and Power: Moderates Team Up at Trump Trial,Trump,Neutral
448,"Democracy 2020 Digest: Struggling Warren pulls back from South Carolina, puts her chips on Nevada",Warren,Negative
449,Exclusive: Utah Sen. Mike Lee thankful for Trump plan to allow use of lands previously designated as monuments,Trump,Positive
450,"Trump denies interfering in Roger Stone case, stays mum on possible pardon",Trump,Neutral
451,"Biden campaign says race isn't over, turns focus to South Carolina and Nevada",Biden,Neutral
452,Tensions flare at House session as Dems take aim at Trump travel ban,Trump,Negative
453,Vulnerable Democrats worry Sanders win could hurt them,Democrats,Negative
454,Klobuchar camp: Supporters gather ahead of New Hampshire results,Klobuchar,Positive
455,Vulnerable Democrats in swing districts fear Sanders could cost them the House if he’s nominee,Sanders,Negative
456,"Joe Biden banks on support in South Carolina, Nevada after fifth place New Hampshire finish",Biden,Neutral
457,"Elizabeth Warren pledges to keep campaigning, despite disappointing finish in New Hampshire",Warren,Negative
458,Pelosi accuses Trump of ‘political interference’ in Roger Stone sentencing,Trump,Negative
459,"Biden vows comeback in South Carolina, after distant New Hampshire finish",Biden,Neutral
460,"Sanders, Buttigieg and Klobuchar look to seize momentum from New Hampshire results",Klobuchar,Positive
461,"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Biden,Negative
462,"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Buttigieg,Neutral
463,New Hampshire Gov. Sununu predicts Trump will win state in November,Trump,Positive
464,Bloomberg under fire for ‘stop and frisk’ recording could this doom his campaign?,Bloomberg,Negative
465,"Sanders narrowly beats Buttigieg, Biden places 5th in New Hampshire primary",Biden,Neutral
466,President Trump wins New Hampshire Republican primary,Trump,Positive
467,"Bloomberg skips New Hampshire, ramps up spending across the country",Bloomberg,Neutral
468,Joe Biden gives up on New Hampshire before polls close and heads to South Carolina,Biden,Negative
469,Trump hints that Vindman may face disciplinary action from Pentagon,Trump,Negative
470,"New Hampshire gives Klobuchar major boost, puts Biden and Warren on 2020 life support",Klobuchar,Positive
471,"New Hampshire gives Klobuchar major boost, puts Biden and Warren on 2020 life support",Warren,Negative
472,"Sanders edges out Buttigieg to win New Hampshire, as Klobuchar surges to third",Sanders,Positive
473,Trump trolls Democrats with rally on eve of New Hampshire primary,Trump,Negative
474,Sanders calls New Hampshire win ‘beginning of the end’ for Trump,Sanders,Negative
475,Sanders calls New Hampshire win ‘beginning of the end’ for Trump,Trump,Negative
476,"Biden, Warren won’t get any delegates from New Hampshire",Biden,Negative
477,Bernie Sanders wins New Hampshire primary,Sanders,Positive
478,"Trump mocks 'Pocahontas' Warren, 'Impeachment King' Steyer after poor showing in New Hampshire",Warren,Negative
479,"Warren, on New Hampshire primary night, calls for party unity, swipes at Roger Stone",Warren,Neutral
480,Warren campaign memo outlines path to victory in Dems' 'fractured' nominating process,Warren,Positive
481,Bernie Sanders supporters eagerly await New Hampshire results,Sanders,Positive
482,Buttigieg surrogate on campaign momentum from Iowa to New Hampshire,Buttigieg,Neutral
483,Andrew Yang drops out of Democratic presidential race,Yang,Neutral
484,Lewandowski: Tonight is going to be a big night for Sanders and Buttigieg,Buttigieg,Positive
485,Media spotlight surging Klobuchar as Sanders wins New Hampshire,Sanders,Positive
486,Andrew McCarthy: Should Trump pardon Roger Stone? President should decide or keep quiet,Trump,Neutral
487,"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",Buttigieg,Neutral
488,"Biden, Buttigieg Amplify Sanders Criticism Before Iowa Vote",Sanders,Neutral
489,Charities Steered $65M to Trump Lawyer Sekulow and Family,Trump,Negative
490,AP Exclusive: Woman Who Says Trump Raped Her Seeks His DNA,Trump,Negative
491,"Aiming at Trump, Biden Says a President's Character Matters",Biden,Positive
492,'We've Always Said It's Uphill': Quotes From Day 8 of Trump's Senate Impeachment Trial,Trump,Negative
493,Tricky Trade-Offs for States in Trump's New Medicaid Offer,Trump,Neutral
494,"AP-NORC Poll: GOP More Fired Up for 2020, Democrats Anxious",Democrats,Negative
495,"AP-NORC Poll: GOP More Fired Up for 2020, Democrats Anxious",GOP,Positive
496,"Bloomberg, Trump Detail Campaign Ads to Air on Super Bowl",Trump,Neutral
497,Watch Bloomberg and Trump’s Very Different Super Bowl Ads,Bloomberg,Neutral
498,Watch Bloomberg and Trump’s Very Different Super Bowl Ads,Trump,Neutral
499,Nevada's powerful Culinary Union says members were 'viciously attacked' by Sanders' supporters,Sanders,Negative
500,"Israel PM Meets With Putin, Returns With Freed Tourist",Putin,Positive
501,"Even With No Major Rival, Trump Steps Up Early State Effort",Trump,Positive
502,Key Questions Asked During Trump's Impeachment Trial,Trump,Neutral
503,"To Senate Republicans, a Vote for Witnesses Is a Vote for Trouble",Republicans,Negative
504,"As Biden Makes Push in Iowa, His Ground Game May Have Some Gaps",Biden,Negative
505,Super PAC Attacks Sanders in an Ad. Sanders Raises $1.3 Million in a Day.,Sanders,Negative
506,"As Other Democrats Feud, Bloomberg Hammers Trump on Health Care",Democrats,Negative
507,On Politics: Biden Seizes on a Comment,Biden,Neutral
508,"At Rally, Trump Praises Van Drew for Leaving ‘Deranged’ Democratic Party",Trump,Negative
509,Trump’s Defense Team Discounts Bolton as Republicans Work to Hold Off Witnesses,Trump,Neutral
510,Joni Ernst Asks if Impeachment Trial Will Turn Iowa Caucusgoers Against Biden. They Answer.,Biden,Neutral
511,What to Watch For in Trump’s Impeachment Trial on Tuesday,Trump,Neutral
512,Impeachment Briefing: Day 2 of Trump’s Defense,Trump,Neutral
513,"How Many Republican Votes Are Needed to Subpoena Bolton? 4, 3 or None?",Republicans,Neutral
514,Trump Impeachment Trial: A Glossary,Trump,Neutral
515,Supreme Court Allows Trump’s Wealth Test for Green Cards,Trump,Neutral
516,Trump Denies Telling Bolton That Ukraine’s Aid Depended on Biden Investigations,Trump,Neutral
517,"In Crucial Pennsylvania, Democrats Worry a Fracking Ban Could Sink Them",Democrats,Negative
518,Bernie Sanders and His Internet Army,Sanders,Neutral
519,"Trump Tied Ukraine Aid to Inquiries He Sought, Bolton Book Says",Trump,Negative
520,"Schiff, Calling Trump ‘Wrathful and Vindictive,’ Sees Tweet as a Threat",Trump,Negative
521,Des Moines Register Endorses Elizabeth Warren as Iowa Caucuses Approach,Warren,Positive
522,"Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election",Democrats,Negative
523,"Trump Team, Opening Defense, Accuses Democrats of Plot to Subvert Election",Trump,Neutral
524,Trump Impeachment: Highlights of Saturday’s Trial,Trump,Negative
525,Tom Steyer Spends Millions in South Carolina. Black Voters Reap the Benefit.,Steyer,Positive
526,What to Watch For in Trump’s Impeachment Trial on Saturday,Trump,Neutral
527,"Sanders Seizes Lead in Volatile Iowa Race, Times Poll Finds",Sanders,Positive
528,"Sanders, Biden, Clinton? This Week in the 2020 Race",Biden,Neutral
529,"Branding Trump a Danger, Democrats Cap the Case for His Removal",Trump,Negative
530,"Trump May Skip Debates, or Seek New Host, if Process Isn’t ‘Fair’",Trump,Neutral
531,Trump Impeachment: Highlights of Friday’s Trial,Trump,Neutral
532,Now Testifying for the Prosecution: President Trump,Trump,Neutral
533,Trump Impeachment Hearings: Highlights From Today's Trial,Trump,Neutral
534,Marianne Williamson Says She’ll Support Andrew Yang in Iowa,Yang,Positive
535,How Joe Biden Talks About a Touchy Subject: His Son,Biden,Neutral
536,Tom Steyer Exaggerates Fossil Fuel Divestment,Steyer,Negative
537,Trump Moves to Block Visas for Pregnant Women on ‘Birth Tourism’,Trump,Neutral
538,"Trump, Back in Washington, Attacks Democrats Over Impeachment",Trump,Negative
539,Impeachment Briefing: Democrats Open Their Case,Democrats,Neutral
540,Rebuke From Roberts Signals His Limited Role in Trump’s Senate Trial,Trump,Neutral
541,‘Where Is Kevin?’ McCarthy Finds a Place in the Trump Camp,Trump,Neutral
542,"In Impeachment Case, Schiff Accuses Trump of Trying ‘to Cheat’ in Election",Trump,Negative
543,"Biden and Sanders Trade Criticism Over Honesty, Social Security and Guns",Biden,Neutral
544,Republicans Block Subpoenas for New Evidence as Impeachment Trial Begins,Republicans,Negative
545,‘Nobody Likes Him’: Hillary Clinton Risks a Party Split Over Bernie Sanders,Sanders,Negative
546,Biden Dismisses Doubts on His Black Support: ‘You Know Better. You Know Better.’,Biden,Neutral
547,What to Expect as the Trump Impeachment Trial Begins Today,Trump,Neutral
548,New York Times Editorial Board Endorses Amy Klobuchar and Elizabeth Warren,Klobuchar,Positive
549,New York Times Editorial Board Endorses Amy Klobuchar and Elizabeth Warren,Warren,Positive
550,Biden and Sanders Clash Over Social Security,Sanders,Negative
551,Sanders and Warren Try to Tone Down Rift. Some of Their Supporters Seem Less Willing.,Sanders,Neutral
552,Would a 37-Year-Old Woman Be Where Pete Buttigieg Is?,Buttigieg,Neutral
553,"Issues Abound at 4th Women’s March, ‘But It All Ties Into Trump’",Trump,Negative
554,Sanders vs. Warren: This Week in the 2020 Race,Warren,Neutral
555,Robert Ray Wanted to Indict Clinton. He Thinks Trump Will Be Vindicated.,Trump,Positive
556,Trump Targets Michelle Obama's School Lunch Program on Her Birthday,Trump,Negative
557,Trump Legal Team Adds Starr and Dershowitz for Senate Trial,Trump,Neutral
558,"Sanders-Warren: An Alliance, if Not a Close Friendship, Suddenly Fractures",Sanders,Negative
559,Democratic Attorneys General Sue to Block Trump Food Stamp Cuts,Trump,Negative
560,"Senate Passes Revised NAFTA, Sending Pact to Trump’s Desk",Trump,Positive
561,Trump Impeachment: What to Watch For Today,Trump,Neutral
562,Trump Attaches Severe Restrictions to Puerto Rico’s Long-Delayed Disaster Aid,Trump,Negative
563,Trump Basks in Trade Victory With Corporate Friends,Trump,Positive
564,The Big Risk Warren Took on the Question of a Female President,Warren,Positive
565,What to Expect from the House and Senate on Trump's Impeachment,Trump,Neutral
566,The Democrats All Disagree With Trump on Iran. Then It Gets Mushy.,Democrats,Negative
567,The Democrats All Disagree With Trump on Iran. Then It Gets Mushy.,Trump,Negative
568,"Democratic Debate Recap: Gender, War and Taking on Trump",Trump,Negative
569,Warren and Sanders Seemed to Calm Things. Then the Debate Ended.,Warren,Positive
570,"At Milwaukee Rally, Trump Defends Strike on Iranian General and Lashes Out at Democrats",Democrats,Negative
571,"At Milwaukee Rally, Trump Defends Strike on Iranian General and Lashes Out at Democrats",Trump,Neutral
572,"3 Republicans Are Open to Impeachment Witnesses, but Democrats Need a 4th",Democrats,Neutral
573,‘Mom and Dad Are Fighting’: Left-Wing Democrats Lament Sanders-Warren Rift,Democrats,Neutral
574,‘Mom and Dad Are Fighting’: Left-Wing Democrats Lament Sanders-Warren Rift,Sanders,Negative
575,‘Mom and Dad Are Fighting’: Left-Wing Democrats Lament Sanders-Warren Rift,Warren,Negative
576,Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,Sanders,Neutral
577,Tonight’s Democratic Debate in Iowa: Will Sanders and Warren Clash or De-Escalate?,Warren,Neutral
578,Trump’s Supporters See U.S. Victory in China Trade Deal,Trump,Positive
579,"Priorities USA, Democratic Super PAC, Will Spend $150 Million on Anti-Trump Ads",Trump,Negative
580,A Step-by-Step Guide to Trump’s Impeachment Trial,Trump,Negative
581,Trump’s Impeachment Team Takes Shape as Trial Looms,Trump,Neutral
582,Elizabeth Warren Says Bernie Sanders Sent Volunteers ‘Out to Trash Me’,Sanders,Negative
583,"Local New Hampshire Union Backs Bernie Sanders, Bucking National Affiliate",Sanders,Positive
584,Michael Bloomberg Is Open to Spending $1 Billion to Defeat Trump,Trump,Neutral
585,Seven Days in January: How Trump Pushed U.S. and Iran to the Brink of War,Trump,Negative
586,Sanders and Biden Look for Dominance in Early States,Biden,Positive
587,He Was Cruising in a G.O.P. Primary. Then Trump Endorsed an Ex-Democrat.,Trump,Neutral
588,Elizabeth Warren Opens a New Front in Disability Policy,Warren,Positive
589,Tom Steyer Qualifies for Democratic Debate With Two Surprising Polls,Steyer,Positive
590,"At First Rally of Election Year, Trump Boasts About Strike on Iranian General",Trump,Neutral
591,"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",Trump,Neutral
592,Around the Country in 17 Hours With Michael Bloomberg,Bloomberg,Neutral
593,Bernie Sanders and Elizabeth Warren Jointly Urge Against War With Iran,Sanders,Neutral
594,Bernie Sanders and Elizabeth Warren Jointly Urge Against War With Iran,Warren,Neutral
595,How Elizabeth Warren Is Being Squeezed by 2 Democratic Factions,Warren,Neutral
596,Full Transcript: President Trump’s Address on Iran,Trump,Neutral
597,A Strategy for the Mideast That Has Even Trump’s Allies Scratching Their Heads,Trump,Negative
598,How a Misleading Biden Video Spread,Biden,Negative
599,Trump Falsely Claims That Ukraine Aid Arrived ‘Ahead of Schedule’,Trump,Negative
600,Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,Trump,Neutral
601,Elizabeth Warren’s Bankruptcy Plan Revives Old Clash With Biden,Warren,Neutral
602,"Pentagon Rules Out Striking Iranian Cultural Sites, Contradicting Trump",Trump,Neutral
603,"Bolton Is Willing to Testify in Trump Impeachment Trial, Raising Pressure for Witnesses",Trump,Neutral
604,Biden and Sanders Differ on Foreign Policy. They’re Happy to Tell You So.,Sanders,Neutral
605,"Trump Threatens Iranian Cultural Sites, and Warns of Sanctions on Iraq",Trump,Negative
606,"Phil Roe, Tennessee Republican, Announces Retirement From Congress",Republicans,Negative
607,Pete Buttigieg and the One Percent,Buttigieg,Neutral
608,Biden Warns About Disinformation After Misleading Video,Biden,Negative
609,Cash-Rich Democrats Brace for Long Fight as Trump Hoards Money,Democrats,Positive
610,Cash-Rich Democrats Brace for Long Fight as Trump Hoards Money,Trump,Negative
611,Christianity Today Editor Laments ‘Ethical Naïveté’ of Trump Backers,Trump,Negative
612,Joe Biden Says He Raised $22.7 Million in the Fourth Quarter,Biden,Positive
613,"Andrew Yang Raised $16.5 Million in the Last 3 Months, His Campaign Says",Yang,Positive
614,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,Trump,Negative
615,Dizzying Day for Trump Caps a Year Full of Them,Trump,Neutral
616,Firings at Trump Property Cap Year of Purging Undocumented Workers,Trump,Negative
617,Trump Warns Iran as Risk of Wider Armed Conflict Grows,Trump,Neutral
618,2nd Senate Republican Questions Impartiality of Impeachment Trial,Republicans,Neutral
619,Judge Dismisses Lawsuit by Ex-Trump Aide Subpoenaed in Impeachment Inquiry,Trump,Positive
620,"Biden Rebounds, Warren Slows, Sanders Rolls: The Latest on the 2020 Money Race",Warren,Negative
621,"As Trump Hails Stock Market, Democrats Point to Struggling Workers",Democrats,Positive
622,"As Trump Hails Stock Market, Democrats Point to Struggling Workers",Trump,Neutral
623,Inside the Biggest 2020 Advertising War Against Trump,Trump,Negative
624,‘Nothing Less Than a Civil War’: These White Voters on the Far Right See Doom Without Trump,Trump,Negative
625,Joe Biden Says He’d Defy Subpoena to Testify in Trump’s Senate Trial,Biden,Negative
626,Congress Wants to Force Trump’s Hand on Human Rights in China and Beyond,Trump,Negative
627,Why Bernie Sanders Is Tough to Beat,Sanders,Positive
628,A Barrier to Trump’s Border Wall: Landowners in Texas,Trump,Negative
629,The ‘But I Would Vote for Joe Biden’ Republicans,Republicans,Neutral
630,"For Trump Organization, Office Skyscrapers Make Up for Lagging Hotels",Trump,Negative
631,Bloomberg Drops Vendor Connected to Prison Labor,Bloomberg,Neutral
632,Christian Post Editor Resigns Over Editorial Defending Trump,Trump,Neutral
633,"Elizabeth Warren Returns to Oklahoma, Stressing Working-Class Roots",Warren,Neutral
634,Durham Surprises Even Allies With Statement on F.B.I.’s Trump Case,Trump,Negative
635,Officials Discussed Hold on Ukraine Aid After Trump Spoke With Country’s Leader,Trump,Neutral
636,Trump Largely Ignores Impeachment as He Rallies Young Conservatives,Trump,Negative
637,A Law Professor’s Provocative Argument: Trump Has Not Yet Been Impeached,Trump,Neutral
638,Trump Has a Habit of Quoting His Allies on Twitter Saying Things They Never Said,Trump,Negative
639,Evangelical Leaders Close Ranks With Trump After Scathing Editorial,Trump,Negative
640,Christianity Today’s Editorial on Trump: 5 of Its Sharpest Rebukes,Trump,Negative
641,The 2020 Democrats Were Told to Give a Gift or Ask Forgiveness. Guess What the Women Chose.,Democrats,Neutral
642,Buttigieg and Warren Clash Over ‘Wine Cave’ Fund-Raiser,Warren,Neutral
643,Watch Andrew Yang Talk About Racial Representation at Democratic Debate,Yang,Neutral
644,Evangelical Magazine Christianity Today Calls for Trump’s Removal,Trump,Negative
645,"Jeff Van Drew Switches Parties, Pledging ‘Undying Support’ for Trump",Trump,Positive
646,Trump Ally Mark Meadows Will Not Seek Re-election,Trump,Neutral
647,Trump Was Impeached. Here’s a Recap of the Day.,Trump,Negative
648,Trump Impeachment: Three Democrats Cross Party Lines to Vote ‘No’,Democrats,Negative
649,Trump Impeachment: Three Democrats Cross Party Lines to Vote ‘No’,Trump,Positive
650,"Joe Biden Is Sounding Like a Pundit, and He’s Bullish on a Certain Former V.P.",Biden,Negative
651,Sanders and Buttigieg in tight race for delegates,Sanders,Neutral
652,Iowa Democratic Party chairman steps down following caucus flub,Democratic Party,Negative
653,Trump budget proposal draws partisan ire,Trump,Negative
654,"MSNBC anchors tout Warren as 'really, really, really good candidate' after 4th-place New Hampshire finish",Warren,Positive
655,Deroy Murdock: Iowa was disaster in Democratic Party's meltdown,Democratic Party,Negative
656,Sanders campaign on support from DNC,Sanders,Positive
657,Media spotlight surging Klobuchar as Sanders leads in NH,Klobuchar,Positive
658,Media spotlight surging Klobuchar as Sanders leads in NH,Sanders,Positive
659,MSNBC's Chuck Todd says he doesn't understand how Bernie Sanders is 'considered a front-runner',Sanders,Negative
660,Roger Stone juror's anti-Trump social media posts surface after she defends DOJ prosecutors,Trump,Negative
661,Tulsi Gabbard refuses to quit despite media attacks,Gabbard,Neutral
662,Chris Wallace on Attorney General Bill Barr's plea to President Trump,Trump,Neutral
663,Biden badly wounded as the press wonders who can beat Bernie,Biden,Negative
664,Tammy Bruce: Why February 2020 will be known as the month when Trump was reelected,Trump,Positive
665,Adriana Cohen: Elizabeth Warren's 2020 bid is collapsing and the reason might surprise you,Warren,Negative
