sentiment,headline,words
neutral,JGBs mixed after solid demand at 5-year auction,8
neutral,K. Ilango elected as CII Coimbatore zone Chairman,8
neutral,Keralas 1-gram gold jewellery is to go places,8
neutral,KV Sridhar Joins SapientNitro as chief creative officer,8
neutral,London Stock Exchange welcomes Arun Jaitley reforms agenda,8
neutral,Lowe names Narayan Ram as India Managing Director,8
neutral,Manoranjan Dash appointed Additional Director of Dhanlaxmi Bank,8
neutral,Markets can correct between 8300-8400 range: Ashwani Gujral,8
neutral,"Markets may remain range-bound; Greece, monsoon on watch",8
neutral,Markets might test 7130 mark again: Mitesh Thacker,8
neutral,"McDonalds may look at QIP, FPO for funds",8
neutral,"MCX-SX expects to begin trading with 1,000-1,200 stocks",8
neutral,Meher Pudumjee is the new Chairperson for CII-Pune,8
neutral,MEP Infrastructure Rs 324 crore IPO opens tomorrow,8
neutral,"Micromax goes public, plans to raise 426 crore",8
neutral,Micromax hopes to hit market soon with IPO,8
neutral,"MSCI launches low-carbon emission, fossil fuel reserve indices",8
neutral,MSCI shifting most of its operations to India,8
neutral,NBCC IPO subscribed 58 pc on Day 3,8
neutral,"Nifty likely to retest 8,340 level: Mitesh Thacker",8
neutral,"Nifty likely to test 7,500-7,600 levels: Mehraboon Irani",8
neutral,"Nifty may test 8,650-8,680 on Friday: Sandeep Wagle",8
neutral,Nifty seen heading towards 8250-8300 levels: Mitesh Thacker,8
neutral,No age bar for appointing Commex managing director,8
neutral,"No curbs, but MNC royalty payouts under scanner",8
neutral,No new money coming into IT: Gautam Trivedi,8
neutral,Non-subsidy current spends should be minimised: JP Morgan,8
neutral,NSE to conduct 75-minute 'Muhurat Trading' on Diwali,8
neutral,"NSEL scam: Investors want action against brokers, defaulters",8
neutral,NSIC may soon become Mini-ratna I company: CMD,8
neutral,"NTPC pays Rs 4,742 crore dividend for 2013-14",8
neutral,Oil prices mixed ahead of US stockpiles report,8
neutral,Oil steadies around $107 after Iran talks extended,8
neutral,OnMobile appoints CEO Rajiv Pancholy as Managing Director,8
neutral,Option writers bet on Bank Nifty staying flat,8
neutral,Ortel Communications to tap capital markets in November,8
neutral,Over 50 companies moved to BSE dissemination board,8
neutral,PBOC steps up intervention in yuan trading: Sources,8
neutral,PowerGrid board okays FPO; issue likely by Sept,8
neutral,PowerGrid to hit capital market in 6-8 months,8
neutral,Pradeep Hejmadi appointed Business Head of Zee TV,8
neutral,Pre-market: Nifty seen opening flat; GDP data eyed,8
neutral,"Pre-market: Nifty seen opening flat; may reclaim 8,000",8
neutral,Pre-market: Nifty seen opening flat; may retest 8350,8
neutral,Pre-RBI Policy: Here how bonds and rupee react,8
neutral,"Process for selecting CIL CMD begins,PESB invites applications",8
neutral,Proposed changes will further strengthen SEBI: Arun Jaitley,8
neutral,Quarterly numbers not to impact Ranbaxy: Harendra Kumar,8
neutral,Quick Heal plans initial public offer in December-January,8
neutral,Race hots up for U K Sinha's successor,8
neutral,Rajesh Exports net profit at Rs 76.12 cr,8
neutral,Rakesh Kumar Upadhyay is new CMD of BSNL,8
neutral,Ramco Systems net profit at Rs 4.77 crore,8
neutral,Ramprasad Reddy to head Aurobindo Pharma's US-based arm,8
neutral,Ravi Venkatesan steps down as Microsoft India chairman,8
neutral,RBI issues new reporting norms for over-the-counter trades,8
neutral,Recommend wait and watch for Wockhardt: Sudip Bandyopadhyay,8
neutral,Reliance Capital Q4 profit at Rs 267 crore,8
neutral,Reliance Industries Ltd shares end flat after earnings,8
neutral,Reliance Infrastructure appoints M S Mehta as CEO,8
neutral,Reliance Infrastructure Q3 Net at Rs 452 crore,8
neutral,Sanjay Kapoor joins PVR Cinemas board as director,8
neutral,Sebi board clears one-time registration system for brokers,8
neutral,SEBI changes rule of dividend transfer under SLB,8
neutral,"Sebi finalising new corporate governance code, insider norms",8
neutral,Sebi issues new norms regarding delivery instruction slips,8
neutral,SEBI lets IDR holders convert 25% into equity,8
neutral,Sebi moots consolidated 'annual information' filing by firms,8
neutral,Sebi mulls mandatory 'Dividend Policy' for listed companies,8
neutral,Sebi mulls new group for manipulation-prone penny stocks,8
neutral,Sebi proposes new listing & disclosure requirement norms,8
neutral,Sebi tightens norms for issue of participatory notes,8
neutral,Sebi to consider new corporate governance code tomorrow,8
neutral,Sebi to hire two executive directors in 2014,8
neutral,Sebi to issue details of corporate governance norms,8
neutral,Sebi to make share trading cheaper and simpler,8
neutral,"SEBI to replace listing regulations, tighten trading rules",8
neutral,Sebi to seek extra funds for investor programmes,8
neutral,Sebi wants companies to adopt 'Dividend Distribution Policy',8
neutral,Sensex in a range; top stocks in focus,8
negative,Sensex in uncharted territory; investors should tread cautiously,8
neutral,SGX India office to woo fund raising corporations,8
negative,Shed off weight in banking stocks: IV Subramanium,8
neutral,Shekhar Mittal takes over as Goa Shipyard chief,8
neutral,Shell Lubricants appoints Nitin Prasad as India head,8
neutral,SKS Microfinance issues NCDs worth Rs 200 crore,8
neutral,Spice i2i appoints Dilip Modi as Executive VC,8
neutral,Srei Infrastructure Finance  exploring' Diageo open offer,8
neutral,Startup exchange Aquis to add eight new markets,8
neutral,Stock-specific action likely; all eyes on Bank Nifty,8
neutral,Support seen at 6000 levels on Nifty bounceback,8
neutral,Syntel appoints Nitin Rakesh as CEO and President,8
neutral,Taiwan to tap $15.3 billion stocks stabilisation fund,8
neutral,Target of 165 on Orchid Chemicals: Ashuu Kakkarr,8
neutral,Tata Power appoints Ramesh N Subramanyam as CFO,8
neutral,Ten key takeaways from HCL third quarter results,8
neutral,Tiles maker RAK India plans to go public,8
neutral,"Top five factors that took Nifty past 8,700",8
neutral,Traders make a killing by selling Nifty options,8
neutral,TV18 Broadcast Q2 profit at Rs 43.22 crore,8
neutral,TV18 Broadcast Q4 profit at Rs 95.47 crore,8
neutral,Two brokers on police radar in NSEL case,8
neutral,U K Sinha appointed 8th chairman of SEBI,8
neutral,UCX appoints Samir Shah as Chief Executive Officer,8
neutral,Usha Ananthasubramanian is CMD of Bharatiya Mahila Bank,8
neutral,VA Tech Wabag Q4 net profit remains flat,8
neutral,Vedanta appoints Mukesh Bhavnani as Group Legal Counsel,8
neutral,VK Sharma Tipped to be RBI deputy Governor,8
neutral,Vodafone names Philips chief Kleisterlee as new Chairman,8
neutral,Wait and watch for Asian Paints: Sandeep Wagle,8
neutral,"Wall Street ends flat in earnings, data lull",8
neutral,Watch out for the banking space: Angel Broking,8
neutral,What brokers are expecting from Infosy Q2 results,8
neutral,What should investors expect from HDFC Q4 results?,8
neutral,What's in Store for IDFC MF's Star Picks?,8
neutral,Why investors should not eagerly await HUL results,8
neutral,Worried about FII outflow? Inflows should resume soon,8
neutral,11 new entities seek membership of NCDEX forward segment,9
positive,Achhe Din' ahead as quarterly results reflect market optimism,9
neutral,Action by Sebi under ordinance to remain valid: Government,9
neutral,Airtel to raise 250 million more from bond sale,9
neutral,Alcatel-Lucent confirms plans for IPO of submarine network unit,9
neutral,Alkem Laboratories eyes $210 million IPO in December: Sources,9
neutral,Alumni back IIM-A: 40 crore promised in a day,9
neutral,Amfi forms panel to decide stance on shareholder votes,9
neutral,"Analyst View: Market wrap for Monday, Dec 5, 2011",9
neutral,Anand Selva appointed as consumer banking head of Citibank,9
negative,Are you prepared for a bear market? Find out,9
neutral,Arun Katiyar joins One97 Mobility Fund as venture catalyst,9
neutral,Arun Nanda joins equity major 3i as non-executive chairman,9
neutral,AS Rao to join RPG as chief financial officer,9
neutral,Asian stocks tread water ahead of US jobs data,9
neutral,"Asset Reconstruction Company appoints Sanjay Jain as president, COO",9
neutral,Assocham for examining select commods for any insider trading,9
neutral,aurionPro solutions Q4 net profit at Rs 11.24 crore,9
neutral,Aurobindo Pharma can go upto Rs 425: Prakash Gaba,9
neutral,Axis Securities elevates Arun Thukral as MD and CEO,9
neutral,Bajaj Electricals Q2 net profit at Rs 11.26 crore,9
neutral,Bank on the lenders for superb returns in 2016,9
neutral,"Banks seek shareholder nod for Rs 5,934-crore capital infusion",9
neutral,Bharti Airtel continues to face exodus of top executives,9
neutral,Billionaire John Paulson retains stake in biggest gold ETP,9
neutral,Biocon Kiran Mazumdar-Shaw to receive 2014 Othmer Gold Medal,9
neutral,BNP Paribas launches first equity index linked green bond,9
neutral,Bond market expects US Fed to wait till March,9
neutral,"Broad-based rally begins; Nifty may retest 8,350-8,400: Ashwani Gujral",9
neutral,BSE asks brokers to remit excess STT to government,9
neutral,BSE expects 30 SME IPOs in next 2-3 months,9
neutral,"BSE Sensex to hit 32,980 by December 2015: Poll",9
neutral,C M Vasudev re-appointed as HDFC Bank non-executive chairman,9
neutral,Cabinet to take up PSU ETF proposal on Wednesday,9
neutral,Cairn India: Progress on E&P Projects key to growth,9
neutral,China keeps investors on edge: Is it 2008 again?,9
neutral,"China yuan steady, better-than-expected PMI survey has no impact",9
neutral,Chinese stocks vs reality: Shares are untethered to economy,9
neutral,Cholamandalam gets Board approval for raising Rs 500 crore,9
neutral,CIL IPO in line with market expectations: Avinash Gorakshekar,9
neutral,CLSA's top five mid-cap picks in tough macro environment,9
neutral,Coaching institute Resonance Eduventures Plans Rs 500 crore IPO,9
neutral,Commexes asked to implement FSLRC suggestion from next month,9
neutral,Court order on NK Proteins MDs bail plea today,9
neutral,Cox & Kings Q1 PAT at Rs 147 crore,9
neutral,Currency ties key to dollar reserve hegemony: BIS study,9
neutral,Dalal street plays smart as May 16 draws near,9
neutral,"Dalal Street to closely follow winter session, F&O expiry",9
neutral,Did Federal Reserve Janet Yellen just enter currency wars?,9
neutral,Did FIIs get a whiff of the Daiichi sale?,9
neutral,Dilip Buildcon files for nearly $100 mn IPO: Sources,9
neutral,Dilip Kumar Khandelwal appointed managing director of SAP Labs,9
neutral,Directors on PSB boards to get market fee soon,9
neutral,Essar Oilfields ropes in Ankur Gupta as new CEO,9
neutral,Essel Finance seeks licence to enter housing finance business,9
neutral,"European shares steady, attention turns to euro zone summit",9
neutral,"Evening trading for agricultural commodities to help farmers, traders'",9
neutral,"Expect Nifty to trade in 8,100-8,300 range: Sandeep Wagle",9
neutral,Expect Nifty to tread between 5950-6100 levels: Mitesh Thacker,9
neutral,"F&O Strategy by Bhavin Desai, Head of Derivative Research",9
neutral,F&O Tracker: Nifty Likely to Trade in 8650-8280 Zone,9
neutral,FIIs put $1.3 bn in Indian equities in April,9
neutral,FIIs trim stake in FMCG companies during Jan-Mar quarter,9
neutral,Financial sector accounts for bulk of corporate bond issuances,9
neutral,Glenmark Pharma posts FY11 net at Rs 457.83 cr,9
neutral,Gokul posts FY'11 net profit at Rs 61.7 crore,9
neutral,Gold dips but Malaysian plane downing seen aiding sentiment,9
neutral,Gurmit Singh joins Yahoo India as new Managing Director,9
neutral,Guruvayur temple to buy 10 kg saffron every month,9
neutral,HCC reports Rs 5.39 crore net profit in Q3,9
neutral,Hindalco Industries promotes Satish Pai as deputy managing director,9
neutral,Hold Financial Technologies at current level:  G Chokkalingam,9
neutral,HSBC securities registers for new Foreign Portfolio Investor scheme,9
neutral,HT Media Q3 net profit at Rs 67.02 crore,9
neutral,HUL: Soaps business holds the key to co's prospects,9
neutral,ICICIdirect Centre for Financial Learning launches StockMIND Season 4,9
neutral,"IDFC Bank debuts on bourses, lists at Rs 70.50",9
neutral,IDFC lowers FII shareholding limit by 0.25 percentage points,9
neutral,IIHFL to raise Rs 200 crore through non-convertible debentures,9
neutral,IL&FS Engineering files papers for Rs 300-crore rights issue,9
neutral,In-charges of Rourkela Steel Plant awarded for exemplary work,9
neutral,Infosys Q1 results: 5 things to watch out for,9
neutral,Infosys Q3 earnings: Five things to watch out for,9
neutral,Infrastructure stocks' direction depends on the market: Deepak Mohoni,9
neutral,Investigators turn bankers into informants in forex probe: WSJ,9
neutral,Investors should tread carefully in midcaps ahead of results,9
neutral,J&K Bank nets Rs 932 crore in nine months,9
neutral,JSW Steel little changed despite unfavourable ruling against subsidiary,9
neutral,Karl-Ulrich Kohler to replace Kirby Adams as Corus CEO,9
neutral,Kartik Kaushik to lead Citi India consumer banking division,9
neutral,"KEC International: Orders help, but margins hurt its revenue",9
neutral,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,9
neutral,Kotak Mutual Fund appoints Harsha Upadhyaya as equities head,9
neutral,Lending Club bursts onto Wall Street with $870-million IPO,9
neutral,Lodha Developers Pvt to raise $1 billion via IPO,9
neutral,Lodha Group relaunches $350 million overseas bond sale plan,9
neutral,"Lok Sabha passes Sebi Bill, to check fly-by-night schemes",9
neutral,Maintain limited investment in real estate stocks: Neeraj Deewan,9
neutral,"March series may expire at 6,600-6,650: Vishal Kshatriya, Edelweiss",9
neutral,Mario Draghi gets ECB support for unlimited bond purchase,9
neutral,Markets are expecting reforms-oriented Budget this time: Hemindra Hazari,9
neutral,Markets may correct 5-6% in the near future: Edelweiss,9
neutral,Markets should be range bound between 7950-8050: Ashwani Gujral,9
neutral,Markit IPO may value company at about $4.47 bn,9
neutral,Maruti Q4 results: Here what to watch out for,9
neutral,Maruti Suzuki could have avoided the mix-up: Prateek Agarwal,9
positive,May see uptick in cyclicals going ahead: Anand Tandon,9
neutral,MCX appoints one more shareholder director on its Board,9
neutral,"Micromax launches Canvas Pace 4G Q416, priced Rs 6,821",9
neutral,Midcap IT space insulated with domestic uncertainties: Prakash Diwan,9
neutral,Monsanto appoints Shilpa Divekar Nirula as India Region CEO,9
neutral,Motilal Oswal PE seeks tax exemption for fund investors,9
neutral,Mphasis: Company needs to move out of parent's shadow,9
neutral,MT Educare allots 17.38 lakh shares to anchor investors,9
neutral,MT Educare plans IPO for college campus in Karnataka,9
neutral,Mukund Abhyankar has been elected as chairman of NAFCUB,9
neutral,Narayan Ramachandran to resign as Morgan Stanley country head,9
neutral,Network18 to raise Rs 300 cr by issuing debentures,9
neutral,New consent order norms in a few weeks: Sebi,9
neutral,NHPC reports Rs 719 cr net profit for Q1,9
neutral,Nifty could correct maximum by 130 points: Mitesh Thacker,9
neutral,Nifty to reach 8600-8700 at some point: Ashwani Gujral,9
neutral,Nifty to remain sideways around 8290 levels: Mitesh Thacker,9
neutral,Nikkei steady as China data arrives in-line with expectations,9
neutral,NPA cycle has peaked out for SBI: Prakash Diwan,9
neutral,NSE issues guidance for companies to make right disclosures,9
neutral,NSE to auction limits in bonds for foreign investors,9
neutral,"NSEL follows govt diktat, modifies contracts as per law",9
neutral,NSEL investors forum to appeal against High Court Order,9
neutral,One can selectively look into auto sector: Mehraboon Irani,9
neutral,OPEC Secy-Gen says low oil price will not continue,9
neutral,Opening of Saudi stock market to boost MENA region,9
neutral,Ozone Pharma planning for IPO in the near future,9
neutral,P Madhusudan assumes charge as new CMD of RINL,9
neutral,Patni founders rule out stake sale plans at AGM,9
neutral,Petronet LNG posts flat performance for March 2013 quarter,9
neutral,Piramal Enterprises Q1 net profit at Rs 4.08 crore,9
neutral,"Piramal offer floating rate bonds, but will investors gain?",9
neutral,Prabhudas Lilladhers largecap ideas to buy in Muhurat trading,9
neutral,Pre-market: Nifty likely to open gap-down on Greece woes,9
neutral,Pre-market: Nifty seen opening flat in special trading session,9
neutral,Pre-market: Nifty50 may open flat tracking mixed global cues,9
neutral,Prime Broking to move Supreme Court against NSE arm,9
neutral,PSU banks showing some signs of life: Ajay Bodke,9
neutral,PSU sector riding on size and liquidity: Dilip Bhat,9
neutral,"PSUs languishing in valuations, but offer pockets of hope",9
neutral,Punj Lloyd Q3 net profit at Rs 13 cr,9
neutral,PVR reports Q3 net profit at Rs 31.55 crore,9
neutral,R Neelakantan returns to SpiceJet as chief financial officer,9
neutral,Rajdeep Endow is new Managing Director of Sapient India,9
neutral,"RBI buys bonds worth Rs 9,092.9 cr under OMO",9
neutral,RBI monetary policy review to dictate trend on bourses,9
neutral,Recent correction should bring back foreign investors to India',9
neutral,Recommend wait and watch for retail sector: Deepak Shenoy,9
neutral,Rice bran oil associations campaigning hard to increase consumption,9
neutral,"Richard Merwe appointed MD, vice chairman of Bayer CropScience",9
neutral,"Same time next year, Sensex may be at 29,000",9
neutral,Sanjiv Singh takes over as IOCs director of refineries,9
neutral,"SBI appoints B Sriram, VG Kannan as managing directors",9
neutral,"SBI gets shareholder nod for Rs 11,500 crore QIP",9
neutral,SC dismisses Dalals' plea in the IPO fraud case,9
neutral,Sebi allows 100 alternative funds to operate in India,9
neutral,Sebi asks AIFs to give full disclosure on 'associates',9
neutral,Sebi has it all to prove in insider probe,9
neutral,SEBI may seek litigation information from companies launching IPOs,9
neutral,Sebi mulls fresh checks on mis-selling of mutual funds,9
neutral,"Sebi norms on REITs, InvITs a welcome step: Industry",9
neutral,Sebi proposes norms for reclassifying promoter as public shareholders,9
neutral,Sebi seeks clarification from 3 firms on IPO plans,9
neutral,Sebi studies its own regulatory impact: U K Sinha,9
neutral,Sebi to act tough in high-profile insider trading cases,9
neutral,Sebi to empanel administrators to look after refund process,9
neutral,Sebi wants strict compliance to mandatory woman director norms,9
neutral,Sebi's stand against reluctant promoters may benefit small investors,9
neutral,Securitised debt must be settled via clearing houses: SEBI,9
neutral,"See Nifty at 7,460 in the short-term: Mitesh Thacker",9
neutral,Singapore bail-in proposals make senior bond holders breathe easy,9
neutral,SpiceJet to issue warrants to promoters for fund raising,9
neutral,"Srikanth Srinivas joins Adfactors as senior V-P, Public Affairs",9
neutral,State government companies lure PFs with high-return bond issues,9
neutral,Sterling firms as early results go against Scottish independence,9
neutral,"Sterling in limbo ahead of UK jobs, housing reports",9
neutral,Submit associate members' details by February-end: NSE to brokers,9
neutral,Sudhir Mathur becomes the new CFO of Cairn India,9
neutral,Sunil Mittal appointed co-chair of India Africa Business Council,9
neutral,Symantec appoints Sanjay Rohatgi as President of India Sales,9
neutral,Target for Nifty Future seen at 9180-9200: Ashish Chaturmohta,9
neutral,Tata Group eyes $350 billion market cap by 2025,9
neutral,Tata Motors shareholders approve pay proposals of 3 executives,9
neutral,"Tata Sons appoints Sunil Sinha Resident Director, MENA region",9
neutral,"TBWA rejigs India top management,appoints Vineet Bajpai as CEO",9
neutral,"TCS Q4 profit seen at Rs 5,397 cr QoQ",9
neutral,"Technicals point to increasing probability of 7,000 on NSE",9
neutral,Ten market-linked insurance funds beat Nifty on fiscal returns,9
neutral,The fundamental road ahead: Markets seen rangebound in December,9
neutral,Top 5 key takeaways from Tata Motors Q2 results,9
neutral,Turnaround in FMCG may take a few more quarters,9
neutral,United Bank profit at Rs 41.78 crore in Q3,9
neutral,Use correction to re-enter market at lower levels: Analysts,9
neutral,"VC, PE firms line up $1bn for green energy",9
neutral,Vijaya Bank reports Rs 161.46 crore Q1 net profit,9
neutral,Vishal Sikka to outline strategy at Infosys Q2 results,9
neutral,Wall Street ends near flat after mixed economic data,9
neutral,What should investors expect from Reliance Industries' 40th AGM?,9
neutral,"Whats trending in F&Os? 8,358 level crucial for Nifty",9
neutral,Why does high-speed rail remain elusive in the US?,9
neutral,Wipro Q4 results: Five things to watch out for,9
neutral,Yes Bank wrangle may be solved out of court,9
neutral,5 triggers that can unveil some hidden gems among midcaps,10
positive,"A year on from record low, optimism abounds about rupee",10
neutral,Adani Group to hit global bond mkt with $1.5-bn issue,10
neutral,Alkem Labs appoints banks for up to $291 million IPO,10
neutral,Alstom Project can retest highs of 415 levels: Mitesh Thacker,10
neutral,Asia Index to make India hub for South-East Asia markets,10
neutral,Atul Auto will find resistance around Rs 128-130: Ashwani Gujral,10
neutral,Bank Nifty is the key to tomorrow trading: Mitesh Thacker,10
neutral,Bharat Forge Q2 profit nearly flat at Rs 175 crore,10
neutral,Bosch Ltd posts Q2 net profit of Rs 305 crore,10
neutral,BSE eyes trading speed of 20 microseconds in three years,10
neutral,BSE sets circuit limit of 10% for United Breweries scrip,10
neutral,"CAG report, macro indicators to keep investors on the edge",10
neutral,Camlin Fine Sciences Q2 net profit of Rs 5.81 crore,10
neutral,Can the party in US stocks keep going in 2015?,10
neutral,Carl Icahn says his firm sold remainder of Netflix stake,10
neutral,Catholic Syrian Bank files for up to $64 mn IPO,10
neutral,China promises to make currency yuan freely traded by 2020,10
neutral,"China yuan snaps 6-day gaining streak on weak PMI, midpoint",10
neutral,Chinese corporate bond market calm despite default by Chaori Solar,10
neutral,Cisco rejigs India operations; appoints Dinesh Malkani as President Sales,10
neutral,Clams may turn out to be Kerala new marine gold,10
neutral,Clariant Chemicals posts Rs 166.77 crore net profit in 2013,10
neutral,Continue to buy till Nifty breaks 8090-8100 levels: Mitesh Thacker,10
neutral,Corrections in market will be shorter than rallies: Ashwani Gujral,10
neutral,Deutsche Bank uses UTIs deemed FII status to buy bonds,10
neutral,Direct FII market access to come from full rupee convertibility,10
neutral,Do not see too much downside for Infosys: Deven Choksey,10
neutral,DTH Industry: Early lead on volume front to decide winners,10
neutral,Entity registered as broker cannot act as merchant banker: Sebi,10
neutral,ET in the Classroom: Simple strategies to play Nifty F&O,10
neutral,Euronext says cash market's pre-opening to start at 0700 GMT,10
neutral,"EY National Director Sunil Chandiramani quits, will start own consultancy",10
neutral,F&O Tracker: Call bunching at 7500 on Nifty shows resistance,10
neutral,F&O Tracker: Nifty likely to end at 8400 on expiry,10
neutral,FIIs place bids worth Rs 813 crore for government bonds,10
neutral,FIIs submit bids worth $ 1.58 billion for government bonds,10
neutral,FMC asks NSEL to file recovery suits against all defaulters,10
neutral,Force Motors appoints Naresh Rattan as COO of tractor biz,10
neutral,Forward Markets Commission chairman Ramesh Abhishek gets another 3-month extension,10
neutral,Forward Markets Commission working on single clearance for commodity exchanges,10
neutral,FTSE readies new global index series to include China A-shares,10
neutral,Fullerton India Credit to raise Rs 6 bn via bonds,10
neutral,Gallantt Ispat lists with 4 pc premium at Rs 52,10
neutral,German classifieds group Scout24 says to list shares this year,10
neutral,Goa Carbon posts Rs 8.03 cr profit for Q4 FY14,10
neutral,GSF Accelerator inducts two partners Nishkaam Mehta and Sanjay Jain,10
neutral,GSK Consumer Healthcare: Transfer of pricing pressure is the key,10
neutral,"GST isn't a disappointment for market: Gaurav Mehta, Ambit Capital",10
neutral,H G Contractor takes over as new CFO of SBI,10
neutral,Harish Bhat to be member-Group Executive Council of Tata Sons,10
neutral,HCC allots shares worth Rs 400 cr to institutional investors,10
neutral,Hikal reports net profit of Rs 5 crore for Q1,10
neutral,HNIs buy Nifty-linked debentures worth Rs 200-300 crore every month,10
neutral,HSBC handpicks seven hot midcap themes for the year 2014,10
neutral,"IIFCL plans to raise Rs 1,200 cr from tax-free bonds",10
neutral,Immediate target in M&M seen at Rs 730-745: Nirmal Bang,10
neutral,India Inc taps into corporate bond market to fund expansions,10
neutral,India Inc's second quarter profits flat but silver lining visible,10
neutral,India likely to issue new 10-year bond in June: sources,10
neutral,"Indices unlikely to see major correction: Gaurang Shah, Geojit BNP",10
neutral,"IndiGo's IPO set to fly, should you book a flight?",10
neutral,Indo Rama Synthetics Q3 net profit at Rs 47.08 cr,10
neutral,Initial target for Tata Elxsi seen at Rs 320: Ventura,10
neutral,Investors sell old tax-free bonds to put money in new,10
neutral,Investors should be judicious in the IT space: Ajay Bodke,10
neutral,IRFC tax-free bond issue subscribed 0.55 times within an hour,10
negative,It should pay to stay with PSU Banks: Ashwani Gujral,10
neutral,Japan's Recruit prices $2 billion IPO at top of range,10
neutral,"Jim Rogers may buy gold if price drops to $1,300",10
neutral,JSW Steel promoter hikes stake marginally for Rs 25 crore,10
neutral,K C Samal is the new director (finance) at NALCO,10
neutral,Karl Slym joins Tata Motors as MD ahead of schedule,10
neutral,Keeping tab on funds entering market: Sebi on black money,10
neutral,Kesoram Industries with a target of Rs 142: Ashwani Gujral,10
neutral,Kotak-ING union takes some bank stocks to a high station,10
neutral,Loha Ispaat's Rs 210-crore IPO to hit market on Tuesday,10
neutral,"Looking at implementation aspect rather than policy: Pankaj Pandey, ICICIdirect.com",10
neutral,LSE says receives 97 per cent take-up for rights issue,10
neutral,M Teresa Kho is ADB new country director for India,10
neutral,Maharashtra Seamless' Board approves Rs 100 crore share buy back,10
neutral,Man Jit Singh named president of Sony home entertainment division,10
neutral,Man who sacked Steve Jobs has good words for Apple,10
neutral,Market avoiding companies mired in coal allocation scam: Ajay Bodke,10
neutral,"Market closer to the range of 6,100-6,150 levels: Mitesh Thacker",10
neutral,Market movers: Top 5 policy triggers government initiated in November,10
neutral,Marks & Spencer's appoint Venu Nair as India operations head,10
neutral,Matrimony.com files papers to raise Rs 600-700 cr via IPO,10
neutral,McAfee announces Anand Prahlad's appointment as head of India operations,10
neutral,MCX managing director & CEO Vaish quits on health grounds,10
neutral,MF revival will be top on new SEBI chief's list,10
neutral,MMTC stake sale offer likely to hit markets this month,10
neutral,"Mondelez International elevates Manu Anand, names new MD for India",10
neutral,More than 50% NSE-listed firms yet to hire women directors,10
neutral,MT Educare fixes price band at Rs 74-80 per share,10
neutral,Multi Commodity Exchange appoints Praveen Kumar Singhal as interim CEO,10
neutral,N K Verma is new ONGC Videsh Ltd Managing Director,10
neutral,"Nabard plans to raise Rs 5,000 cr via tax-free bonds",10
neutral,NBCC fixes IPO price band at Rs 90-106 per share,10
neutral,Network 18 Media plans to raise funds via public deposits,10
neutral,New consent norms are in accordance with law: Sebi chief,10
neutral,Nifty can move beyond 7000 only post elections: Arvind Sanger,10
neutral,Nifty heading towards key support zones of 6570-6650: Ashwani Gujral,10
neutral,"Nifty likely to test its 200-DMA of 8,250: Ashwani Gujral",10
neutral,Nifty may hit 8000 in the near term: Mitesh Thacker,10
neutral,Nifty to hit 8080-8150 in next few days: Mitesh Thacker,10
neutral,Nifty unlikely to get past the 7550-7560 mark: Ashwani Gujral,10
neutral,Nifty's consolidated P/E makes Indian markets cheaper than its peers,10
neutral,Nine stocks that led Nifty rally in last one year,10
neutral,"Nitin Fire Protection Industries expects Rs 1,000-crore turnover this fiscal",10
neutral,No tax on capital gains on offshore rupee bonds: CBDT,10
neutral,Nothing has changed for real estate sector structurally: Pramod Gubbi,10
neutral,NSE prepares system to check freak trades in F&O segment,10
neutral,Parabolic Drugs fixes IPO price at Rs 75 per share,10
neutral,"Participatory notes: A sensitive topic for govt, SEBI and investors",10
neutral,PFC's FPO on May 10; govt's first disinvestment this fiscal,10
neutral,"Post 2G spectrum auction, are telecom stocks good picks now?",10
neutral,Pre-market: Nifty seen opening flat; may find support around 7460,10
neutral,PTC Fin IPO in mid-March; to raise Rs 800 cr,10
neutral,Rakesh Sethi takes over as new CMD of Allahabad Bank,10
neutral,"RBI's monetary policy, global cues may decide direction of stocks",10
neutral,Recommend wait and watch for midcap IT stocks: Dipan Mehta,10
neutral,Remain invested in Infosys despite key management exits: Mehraboon Irani,10
neutral,Revival in sight for Engineers India after poor quarterly numbers,10
neutral,Russian roubles firms in first minutes of trading on Friday,10
neutral,SBI Life Insurance appoints Arijit Basu as MD and CEO,10
neutral,Scotts Garments IPO: Skip the issue and wait for listing,10
neutral,Sebi issues norms for sharing KYC details with financial regulators,10
neutral,Sebi may make succession plan a must in listed companies,10
neutral,Sebi plans surprise inspection of companies existing only on paper,10
neutral,Sebi wants government to allow pension money in Mutual Funds,10
neutral,See trailing stop for Nifty at 8450 levels: Ashwani Gujral,10
neutral,Sensex at 100K in 10 years quite likely: Navneet Munot,10
neutral,Sensex consolidates in narrow range; top 20 intraday trading ideas,10
neutral,"Sesa Sterlite reports Rs 1,621.55 crore net profit in Q4",10
neutral,Shibulal may succeed Kris Gopalakrishnan as Infosys CEO this April,10
neutral,Shilpi Cable hopeful to launch Rs 56-cr IPO in January,10
neutral,Shriram City to launch Rs 200-crore NCD on April 16,10
neutral,Six key takeaways for market from RBI money policy review,10
neutral,Six trading houses imported 40 per cent gold in September,10
neutral,Snapdeal to go public in 1-2 years: Co-founder Kunal Bahl,10
neutral,Sodexo names Rishi Gour as COO of Onsite Services Solutions,10
neutral,StanChart IDR holders can convert 25% of holding into shares,10
